Destination,1990_est_(mf),1995_est_(mf),2000_est_(mf),2005_est_(mf),2010_est_(mf),2015_est_(mf),2019_est_(mf),1990_pct_(mf),1995_pct_(mf),2000_pct_(mf),2005_pct_(mf),2010_pct_(mf),2015_pct_(mf),2019_pct_(mf),1990-1995_annual_rc_(mf),1995-2000_annual_rc_(mf),2000-2005_annual_rc_(mf),2005-2010_annual_rc_(mf),2010-2015_annual_rc_(mf),2015-2019_annual_rc_(mf)
WORLD,18977581,18142316,16503717,13757766,15880355,24651000,28711526,12.402717670720024,11.246383089632365,9.507382464481031,7.179878812982081,7.192779096769201,9.90551781101389,10.569615487260343,-0.9002244985047345,-1.8932296384616112,-3.6396432718125036,2.8695869211950593,8.794693137686318,3.8120294328764084
UN development groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
More developed regions,2042750,3880290,3572526,2632565,2207096,3601314,4813580,2.468066583271328,4.1752687722544435,3.436377116640198,2.256079171246416,1.689792154652361,2.560600870925136,3.165386593152445,12.832259076549587,-1.6527396899620386,-6.106285050657314,-3.5256206357913613,9.79242309152291,7.253557778878468
Less developed regions,16934831,14262026,12931191,11125201,13673259,21049686,23897946,24.108491887101888,20.856464731843854,18.572238895642705,14.84786359719025,15.164127975629258,19.451191192546666,19.986098181289393,-3.435440525130493,-1.9591636143997937,-3.0085880921172703,4.124582645680522,8.628872311273568,3.1726717667292603
Least developed countries,5048975,5165247,3098899,2362353,2044868,4493016,6949378,45.649856363629624,44.21627805427205,30.79208080168936,24.024376725667768,19.60061809674627,32.96090504322059,42.66295160857714,0.4553534183443428,-10.218120723802555,-5.427774617768276,-2.886498329868867,15.743819028850128,10.903199199801552
"Less developed regions, excluding least developed countries",11885856,9096779,9832292,8762848,11628391,16556670,16948568,20.082875050968134,16.043695432010672,16.507519562978747,13.461669631163211,14.583655282074254,17.504239235502947,16.409702735532996,-5.348574539121426,1.5550335188667233,-2.3030220899912415,5.658572831937903,7.066788678352151,0.584857617544843
World Bank income groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-income countries,2127921,3213250,3021424,2717541,2141811,3299001,4734790,2.7350161436208236,3.596387068375911,2.9325749839170205,2.2544026138895816,1.4844557529940414,2.0571623831204433,2.693100928948302,8.242748785559431,-1.2310928514927841,-2.1200163227509403,-4.761513889148824,8.639359250601597,9.032941992629686
Middle-income countries,12615251,10285011,10700261,8665149,10718934,16988481,18498707,19.371015450653292,16.84961683094875,17.49581394247628,14.061466326564078,16.245731301345955,22.317116910860392,22.494198249583423,-4.084377724401839,0.7916108214133424,-4.219180301189289,4.254051835307329,9.210476315092547,2.129132789889342
Upper-middle-income countries,6347793,5911636,5619443,4630073,5295219,11118899,11347870,19.070717445579763,17.64952700116968,16.22125057627952,12.630633610246289,13.159498126694308,22.393081930926733,20.906388931528323,-1.42369162750389,-1.0138012677615649,-3.873198279221055,2.6846340651787823,14.83683870315457,0.5095946997169895
Lower-middle-income countries,6267458,4373375,5080818,4035076,5423715,5869582,7150837,19.68495877218051,15.876945598587758,19.16096697675157,16.16236303957093,21.07013717519924,22.174618325729583,25.57684504159685,-7.1967165509969675,2.9987450001610787,-4.608942710258488,5.915117365464159,1.5800483350928363,4.936149775679923
Low-income countries,4227808,4640754,2782032,2375076,3019596,4363518,5478028,43.183914425778,43.875543793441786,30.995467828422562,26.480319564305095,30.07415665811895,36.76174469079949,41.9062615728354,1.8638639520342688,-10.233905141703916,-3.1630431795331546,4.801872212581489,7.36311130275882,5.686664236017539
No income group available,6601,3301,0,0,14,0,1,2.245230458399801,0.9346826439541522,0,0,0.002923799519243822,0,0.00019212443515416065,-13.859913996711553,..,..,..,..,..
Geographic regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa,5697283,5952996,3698535,2941924,2726187,6186607,7299284,36.31232812731641,36.39400853832259,24.572245338509457,18.421755766418375,15.31204606913493,26.352619078744727,27.514011471226528,0.8781045541748016,-9.519156538879372,-4.577460124363811,-1.52319718955612,16.389657292918855,4.134736672632658
Asia,10038834,7952442,9185166,8121643,10545376,14453065,16013658,20.82315830701252,17.132221254303605,18.595590804951225,15.197882622203215,15.992693336199833,18.713887913469797,19.164446972844893,-4.659638415011958,2.8822148027644166,-2.4611463568337375,5.2230999279457215,6.304380655767831,2.5633870079095455
Europe,1323376,3016710,2472899,1862341,1750314,2820482,3595669,2.6676540834524016,5.639782471542394,4.349194006738237,2.9284475393295386,2.4764613895195855,3.7602305955298045,4.36873718471347,16.479615725132064,-3.9755137391976634,-5.67113696243292,-1.2407819617687794,9.542251838377382,6.070556833097475
Latin America and the Caribbean,1197274,352309,44176,53436,394300,415459,607263,16.718502644256247,5.267218940572995,0.6723150505826675,0.7396045532268632,4.772202086237795,4.400266096739785,5.202158980400381,-24.465879070604256,-41.52653952484799,3.8060604187953415,39.972547295120314,1.0454378449894692,9.489451062672623
