Destination,1990-1995_(mf),1995-2000_(mf),2000-2005_(mf),2005-2010_(mf),2010-2015_(mf),2015-2019_(mf),1990-1995_(m),1995-2000_(m),2000-2005_(m),2005-2010_(m),2010-2015_(m),2015-2019_(m),1990-1995_(f),1995-2000_(f),2000-2005_(f),2005-2010_(f),2010-2015_(f),2015-2019_(f)
WORLD,1.0571563370460841,1.4663298709316537,1.9760786050039332,2.8336846202224173,2.3944063982377486,2.1897428090307693,1.0104395181851615,1.4956953510698154,2.1175526580043242,3.063858112638656,2.440269770302023,2.3365523219838265,1.105192610414646,1.4361615759282729,1.829468262895661,2.5905709411842843,2.3452714599232265,2.0311209944317064
UN development groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
More developed regions,2.3173861064627648,2.2424799133848556,2.3095014692154896,2.2548371781844123,1.4796948875939866,1.9527265709467,2.310508897395864,2.258307786400077,2.329841256207969,2.1035557774103077,1.3463656450918868,2.0991824949680877,2.323950286627511,2.227365864131623,2.2900446111352744,2.3986310222685887,1.6046838816266353,1.8155397735755603
Less developed regions,-0.5374369326258291,0.36075690513986913,1.4676507858964194,3.703049692362291,3.649358811954554,2.4944560440069745,-0.5038721399348445,0.49980672225813916,1.824170842513975,4.334868435833849,3.730361186071028,2.5976924710531217,-0.5753660812503258,0.2021700880773309,1.0499976206467607,2.9212958633991355,3.5450443859308107,2.360255593117031
Least developed countries,1.093502568549819,-2.981411464515255,-0.46400405154066965,1.1836598799744644,5.3485977846032355,4.452980792633662,0.963212462034518,-2.9159828696712125,-0.1851837548488252,0.7784659386157253,5.375387050493,4.387971519574874,1.2238917954479132,-3.0466774011061295,-0.7469881098761305,1.5923215402588782,5.322088118721123,4.517231025381417
"Less developed regions, excluding least developed countries",-0.8575445397011227,0.9850326438680785,1.776370864778978,4.057472033274869,3.4159548134437125,2.199115205567945,-0.7723167725087579,1.090888653920188,2.1208848424232887,4.78377065888811,3.533853980419252,2.3645257056834423,-0.9561960175902117,0.8612305885267296,1.3633852260922594,3.1328157615340015,3.2584458127661335,1.974865285167313
World Bank income groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High-income countries,2.76690056659175,2.849884713041905,3.139900668426005,3.5952223677461217,2.1137724406399268,2.298798439911387,2.6550539897843275,2.773916844714346,3.273385960814962,3.892420760162882,2.115028071743239,2.497707557532796,2.884510710425719,2.9290030119528088,3.000469556015705,3.2778213438552877,2.112410601407226,2.08124597889379
Middle-income countries,-1.2953780565399868,0.038936171574187606,0.15128924745708414,1.3662115648561868,2.860000847282191,1.9315462429804815,-1.282939722480568,0.19374172965563957,0.2723192328422645,1.5276767584847726,3.0259428699283464,1.9996722275499021,-1.3078831155046018,-0.11801542077344469,0.026860121960296413,1.1978067608135994,2.683995423563238,1.8584623320304379
Upper-middle-income countries,0.12520949994566363,0.6739354847207388,1.1307426089667079,1.8642603308905406,4.20467310536477,2.227026350450367,0.12299877015406785,0.8515285412935303,1.143604573577418,2.0992339933916813,4.436344284997053,2.3255289186648693,0.12748174646068147,0.489762976408147,1.1172740870425661,1.6150452067575753,3.952944510685036,2.1182442676049242
