Year,Destination,0-4_(mf),5-9_(mf),10-14_(mf),15-19_(mf),20-24_(mf),25-29_(mf),30-34_(mf),35-39_(mf),40-44_(mf),45-49_(mf),50-54_(mf),55-59_(mf),60-64_(mf),65-69_(mf),70-74_(mf),75+_(mf),Total_(mf),0-4_(m),5-9_(m),10-14_(m),15-19_(m),20-24_(m),25-29_(m),30-34_(m),35-39_(m),40-44_(m),45-49_(m),50-54_(m),55-59_(m),60-64_(m),65-69_(m),70-74_(m),75+_(m),Total_(m),0-4_(f),5-9_(f),10-14_(f),15-19_(f),20-24_(f),25-29_(f),30-34_(f),35-39_(f),40-44_(f),45-49_(f),50-54_(f),55-59_(f),60-64_(f),65-69_(f),70-74_(f),75+_(f),Total_(f)
1990.0,WORLD,643553.479,575774.1910000002,528772.9119999999,518869.4989999998,490173.2159999997,438506.53199999995,385595.1040000001,350132.6519999999,280554.297,227917.4919999997,213990.869,185445.42299999998,159734.52499999997,124429.78800000002,86538.88500000001,117242.19699999999,5327231.061,330648.52799999993,295189.8089999999,270566.86999999994,265116.7500000002,249684.45,223347.76499999993,196062.85899999994,177771.03999999995,141551.41899999997,114927.59600000002,107209.54899999991,91899.18399999996,77332.11200000001,57131.01099999998,38411.249999999985,44045.06999999999,2680895.2619999996,312904.921,280584.3900000001,258206.01099999988,253752.72499999995,240488.77400000006,215158.7529999999,189532.25699999995,172361.626,139002.87499999997,112989.89200000005,106781.32800000002,93546.25999999995,82402.41399999996,67298.80200000004,48127.660999999986,73197.09000000001,2646335.778999999
1990.0,UN development groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990.0,More developed regions,77563.61799999999,78628.35800000002,79286.98900000002,83228.61700000001,85137.12800000003,89923.43,90554.18300000002,86709.035,80711.054,64600.429000000004,67164.774,59548.436000000016,58770.46800000001,48845.04999999999,33028.579000000005,61807.56999999999,1145507.718,39722.62700000001,40214.496,40519.864,42568.810999999994,43468.45200000001,45664.525,45691.36,43513.48,40287.831000000006,31929.836,32715.121000000003,28507.243000000002,26859.782,20385.01,13151.683000000003,20558.572000000004,555758.6930000001,37840.97900000001,38413.84600000001,38767.109000000004,40659.80500000001,41668.67799999999,44258.88900000001,44862.814,43195.558999999994,40423.22200000001,32670.591,34449.663,31041.199,31910.68099999999,28460.038,19876.904,41249.009999999995,589748.9870000001
1990.0,Less developed regions,565989.8609999996,497145.8330000001,449485.92299999984,435640.88199999975,405036.08799999976,348583.10199999984,295040.9210000001,263423.6170000001,199843.2430000002,163317.06299999988,146826.095,125896.987,100964.057,75584.73800000004,53510.30599999999,55434.62700000001,4181723.343,290925.901,254975.313,230047.00599999994,222547.9390000001,206215.9980000001,177683.23999999996,150371.49899999995,134257.5599999999,101263.58799999996,82997.76000000002,74494.42799999996,63391.941,50472.33000000001,36746.000999999975,25259.567000000006,23486.498000000007,2125136.569,275063.9420000001,242170.54399999994,219438.9019999999,213092.91999999993,198820.096,170899.8640000001,144669.4430000001,129166.0670000001,98579.65299999999,80319.30100000002,72331.66500000004,62505.061,50491.73299999998,38838.76399999998,28250.757000000005,31948.08000000001,2056586.7920000001
1990.0,Least developed countries,88198.65700000004,74355.01900000001,63152.333,53548.12099999999,45116.255999999994,37481.163,30294.925999999996,24424.490999999998,20596.265999999996,17494.828999999998,14463.862000000001,11958.604000000003,9439.287000000002,7006.963,4647.323,4097.512000000001,506275.61199999996,44548.679000000004,37528.10600000001,31831.472999999994,26932.260000000006,22549.536999999993,18666.481000000003,15021.346,12086.640000000001,10123.994,8584.791,7066.001,5795.174000000002,4513.581999999999,3307.9770000000003,2174.4770000000003,1836.9830000000004,252567.50100000002,43649.98399999999,36826.925,31320.851999999995,26615.843,22566.726000000006,18814.692999999996,15273.580999999995,12337.854000000001,10472.272000000003,8910.035999999998,7397.871000000002,6163.432999999999,4925.697999999999,3698.996999999999,2472.8559999999998,2260.504,253708.12499999997
1990.0,"Less developed regions, excluding least developed countries",477791.2039999999,422790.8140000002,386333.58999999985,382092.7609999999,359919.8319999998,311101.9389999999,264745.99500000005,238999.12600000008,179246.97700000013,145822.23399999988,132362.23299999998,113938.38299999999,91524.76999999999,68577.77499999997,48862.982999999986,51337.115000000005,3675447.7309999997,246377.222,217447.20699999994,198215.53299999988,195615.6790000001,183666.46100000004,159016.75899999996,135350.15300000002,122170.91999999994,91139.59399999994,74412.96900000001,67428.427,57596.767,45958.747999999985,33438.02399999998,23085.090000000007,21649.515,1872569.0679999997,231413.95799999998,205343.619,188118.04999999996,186477.07699999996,176253.37000000005,152085.17100000006,129395.86200000005,116828.21300000008,88107.38099999998,71409.26500000001,64933.793999999994,56341.628,45566.035,35139.766999999985,25777.901000000005,29687.576,1802878.667
1990.0,World Bank income groups,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990.0,High-income countries,72905.76299999999,73893.26400000001,74830.16500000001,78755.942,81656.11400000003,84315.51599999997,82295.859,77173.88500000001,72786.03899999999,59805.74199999999,55235.56200000001,51037.961,48052.88400000001,42463.42600000001,29754.583000000006,53492.700000000004,1038455.4049999998,37386.00200000001,37839.19100000001,38279.681,40324.72199999999,41837.794,43061.935000000005,41826.346999999994,39057.772,36680.362,29832.403000000002,27387.551999999996,24793.607,22574.492,18661.635999999995,12464.702,18808.126,510816.3240000001,35519.741,36054.06999999999,36550.483,38431.23100000001,39818.318999999996,41253.566,40469.511,38116.116,36105.68,29973.337999999996,27848.010999999995,26244.356,25478.395999999993,23801.791,17289.902999999995,34684.585,527639.097
1990.0,Middle-income countries,507486.148,450025.17400000006,410446.939,403088.49199999985,377621.68399999983,328991.3860000001,281991.652,255809.02599999993,193339.71700000006,155907.1229999999,148624.464,126154.76899999994,105230.89399999999,77149.901,53570.00199999999,60761.63199999998,3936199.0029999996,261368.80500000008,231195.95899999997,210372.00100000002,206170.2760000001,192473.54299999998,167834.62899999993,143792.341,130340.36299999992,97895.60199999997,79211.595,75002.78599999993,63266.615,51803.02099999998,36305.97199999999,24517.178,23984.466,1995535.152,246117.3299999999,218829.212,200074.92599999992,196918.19999999998,185148.15199999994,161156.75400000004,138199.315,125468.67400000004,95444.11199999998,76695.52399999998,73621.679,62888.169999999984,53427.873999999996,40843.94199999999,29052.814000000006,36777.14499999999,1940663.8229999999
1990.0,Upper-middle-income countries,237522.1570000001,204808.625,193643.015,210520.76700000002,207666.57599999994,178522.01299999998,152460.93499999994,147038.38099999994,108371.65899999994,83508.75899999996,82922.46800000001,71860.81200000002,61312.87000000001,45325.27699999999,32572.815000000006,38183.255,2056240.384,122164.71200000003,104812.391,99008.91000000002,107454.53999999996,105334.869,90590.39199999996,77215.02699999999,74377.30599999997,54747.52199999998,42741.147,42263.441999999995,36297.51200000002,30189.605999999996,21030.501,14659.568000000007,14314.681000000004,1037202.126,115357.44200000002,99996.22599999997,94634.09299999998,103066.22100000002,102331.71599999999,87931.60899999998,75245.91100000001,72661.08099999999,53624.136000000006,40767.61200000001,40659.02,35563.31300000001,31123.274000000005,24294.78599999999,17913.245000000003,23868.554999999993,1019038.2399999998
1990.0,Lower-middle-income countries,269963.9909999999,245216.54899999997,216803.92399999997,192567.72500000003,169955.108,150469.373,129530.71699999996,108770.645,84968.05799999999,72398.36400000002,65701.99600000001,54293.95700000002,43918.024,31824.624000000003,20997.186999999998,22578.376999999993,1879958.619,139204.093,126383.56799999997,111363.09100000004,98715.736,87138.67399999998,77244.23700000001,66577.314,55963.057,43148.07999999997,36470.44800000001,32739.344,26969.103,21613.414999999997,15275.470999999998,9857.61,9669.785000000002,958333.0260000001,130759.888,118832.98600000003,105440.83300000001,93851.97899999998,82816.43600000005,73225.145,62953.40400000001,52807.59300000001,41819.97600000001,35927.91200000001,32962.65900000001,27324.857,22304.600000000002,16549.156000000006,11139.569000000001,12908.589999999998,921625.583
1990.0,Low-income countries,62956.41199999999,51669.79899999999,43315.33899999999,36833.647999999994,30713.969,25029.092000000004,21159.038,17021.358999999997,14327.615999999996,12124.378999999999,10060.476,8192.236000000003,6399.503999999998,4773.258,3183.486,2941.3460000000005,350700.957,31790.027000000002,26060.998,21824.165,18524.886000000002,15282.882999999998,12365.607,10369.644999999999,8309.094000000001,6924.6399999999985,5843.747999999998,4784.889999999999,3809.232,2930.197999999999,2143.2580000000003,1415.5699999999997,1235.143,173613.984,31166.388000000003,25608.814999999995,21491.165999999997,18308.748999999996,15431.086,12663.488000000001,10789.399999999996,8712.260999999999,7402.972,6280.625999999999,5275.595,4383.005999999999,3469.303999999999,2630.006,1767.9250000000002,1706.1899999999998,177086.97699999996
1990.0,No income group available,205.15600000000003,185.95399999999998,180.46900000000002,191.41700000000003,181.44900000000004,170.53799999999998,148.555,128.38199999999998,100.925,80.24799999999999,70.36699999999999,60.456999999999994,51.243,43.203,30.813999999999993,46.519,1875.6960000000004,103.69399999999999,93.66100000000002,91.023,96.86599999999997,90.22999999999999,85.59400000000001,74.526,63.810999999999986,50.81499999999999,39.84999999999999,34.32099999999999,29.730000000000004,24.401000000000003,20.145000000000007,13.799999999999999,17.335000000000004,929.802,101.46199999999997,92.29299999999999,89.43599999999999,94.54499999999997,91.21699999999998,84.94500000000001,74.031,64.575,50.111,40.403999999999996,36.043,30.728000000000005,26.839999999999996,23.063,17.019,29.17,945.8819999999998
1990.0,Geographic regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990.0,Africa,109707.70300000001,92765.988,78769.97799999999,66046.19600000003,54896.483,45956.93700000001,38172.587,31458.523,25764.001000000004,21221.456000000002,17960.084,15173.078,12051.991,8945.084999999995,5982.705999999999,5476.843,630349.6390000001,55524.950999999994,46880.03399999999,39766.620999999985,33260.29200000001,27433.977999999996,22902.804000000004,18931.104,15614.359,12732.996,10375.752,8704.352999999997,7295.111000000003,5713.8099999999995,4161.327,2726.5430000000006,2353.2889999999998,314377.3239999999,54182.757,45885.96299999998,39003.352000000006,32785.893,27462.517000000003,23054.145999999997,19241.49800000001,15844.165000000003,13030.998000000001,10845.702,9255.734,7877.971999999996,6338.186999999999,4783.766,3256.173,3123.538,315972.361
1990.0,Asia,405713.614,357037.928,328126.84500000015,333265.9549999998,316860.80499999993,272951.32199999987,232800.9790000001,213913.60199999993,162850.56600000002,133228.29499999993,121674.78600000002,105568.627,84784.98700000001,63495.52,45548.41299999999,48276.718,3226098.962,209673.629,184102.66,168799.7839999999,171193.062,162316.31700000007,140216.06900000002,119733.963,109929.19299999996,83152.47999999997,68348.638,62363.61799999999,53665.639,42820.88600000001,30952.47400000001,21504.796,20194.390000000003,1648967.5979999998,196039.964,172935.272,159327.046,162072.89599999995,154544.4919999999,132735.24800000002,113067.01900000004,103984.40500000004,79698.08599999995,64879.652999999984,59311.16700000001,51902.998,41964.100000000006,32543.04399999999,24043.623000000003,28082.310999999998,1577131.3239999996
1990.0,Europe,48080.05399999999,49559.854000000014,49927.532,51579.14200000001,53108.48000000001,56117.91100000001,56205.77399999999,53356.49599999999,48646.813,38955.443,45103.033,39213.547000000006,39299.17500000001,31795.947000000004,19620.696,40288.553,720858.4500000001,24625.758000000013,25329.301,25480.743,26328.301000000007,27036.582,28420.772,28367.936,26767.761,24313.67,19284.208000000002,21772.663000000004,18641.409999999996,17673.984999999997,12796.412,7427.8550000000005,12737.378999999999,347004.73600000003,23454.28200000001,24230.543000000005,24446.775,25250.842000000008,26071.900999999998,27697.125000000004,27837.829999999994,26588.74100000001,24333.138000000003,19671.231999999996,23330.378000000004,20572.137999999995,21625.18799999999,18999.532,12192.85,27551.18,373853.67499999993
1990.0,Latin America and the Caribbean,56305.44399999999,54015.92800000001,50334.35699999999,45673.150000000016,41458.553000000014,37246.91599999998,31586.828999999998,26905.741,21629.327000000012,17721.885000000006,15162.727999999994,12691.797999999999,10736.914999999999,8147.65,5756.461000000001,7466.379,442840.06100000005,28670.434999999994,27415.353999999996,25451.078999999998,22879.982999999997,20627.999000000014,18429.203999999998,15543.665,13224.03,10636.731000000002,8697.084,7387.865999999999,6110.856000000002,5073.986,3768.8979999999992,2574.676,3116.4450000000006,219608.29100000003,27635.007999999998,26600.584999999995,24883.280000000006,22793.160999999996,20830.551000000003,18817.702999999998,16043.170000000006,13681.726999999992,10992.597999999996,9024.798999999999,7774.848,6580.944999999999,5662.932,4378.771,3181.783,4349.926,223231.787
1990.0,Northern America,21170.722999999998,19931.850000000002,19270.565000000002,19879.067000000003,21576.727,23983.602000000003,24690.588000000003,22549.972,19864.05,15378.854999999998,12915.590999999999,11763.555,11864.534,11172.148000000001,8983.543,14789.888999999997,279785.259,10830.653,10197.708,9865.588,10215.32,11117.729,12247.283000000001,12414.238,11259.591,9803.427,7500.016,6382.275,5663.871,5552.969,5038.338,3889.115,5290.936999999999,137269.058,10340.072,9734.137,9404.975,9663.746000000001,10458.995,11736.317000000001,12276.347,11290.379,10060.626,7878.840999999999,6533.317999999999,6099.686,6311.5650000000005,6133.811,5094.4259999999995,9498.951999999997,142516.193
